Region,Date,Confirmed Cases,New Confirmed Cases,New Confirmed Cases - 7 Day Avg,New Confirmed Cases - 7 Day Avg Rate,Probable Cases,Total Cases,New Cases,New Cases - 7 Day Avg,New Cases - 7 Day Avg Rate,Recovered_Tot_Old,Recovered_New_Old,Recovered_Tot,Recovered_New,Cases_Past14Days,Hospitalized_Tot,Hospitalized_New,NewHosp_7day,NewHosp_Rate,Deaths_Tot,Deaths_New,NewDeaths_7day,NewDeaths_Rate,Infection Death Rate,Most Recent Date
State,9/13/2021,,,,,,72352,461,573.1,40.7,,,,,,3862,14,24.6,1.7,660,0,3.9,0.3,,
State,9/14/2021,,,,,,72775,423,557,39.6,,,,,,3883,21,26,1.8,660,0,4.1,0.3,,
State,9/15/2021,,,,,,73268,493,566,40.2,,,,,,3945,62,33.4,2.4,671,11,6.4,0.5,,
State,9/16/2021,,,,,,73856,588,588.7,41.8,,,,,,3980,35,30,2.1,679,8,6,0.4,,
State,9/17/2021,,,,,,74437,581,562.9,40,,,,,,3981,1,12.9,0.9,694,15,7,0.5,,
State,9/18/2021,,,,,,75006,569,530.4,37.7,,,,,,4001,20,20.4,1.4,702,8,6.6,0.5,,
State,9/19/2021,,,,,,75480,474,495.4,35.2,,,,,,4036,35,30,2.1,714,12,7.1,0.5,,
State,9/20/2021,,,,,,75911,431,483.9,34.4,,,,,,4068,32,27.3,1.9,714,0,5.9,0.4,,
State,9/21/2021,,,,,,76191,280,465,33,,,,,,4089,21,24.9,1.7,714,0,6,0.4,,
State,9/22/2021,,,,,,76521,330,443.1,31.5,,,,,,4136,47,31.6,2.2,726,12,9.4,0.7,,
State,9/23/2021,,,,,,76966,445,420.9,29.9,,,,,,4167,31,30.9,2.2,738,12,9.4,0.7,,
State,9/24/2021,,,,,,77369,403,392.6,27.9,,,,,,4187,20,23.4,1.6,747,9,7.4,0.5,,
State,9/25/2021,,,,,,77777,408,380.7,27.1,,,,,,4214,27,26.1,1.8,747,0,6.7,0.5,,
State,9/26/2021,,,,,,78149,372,364.9,25.9,,,,,,4229,15,28.7,2,757,10,7.7,0.5,,
State,9/27/2021,,,,,,78404,255,339.3,24.1,,,,,,4249,20,29.4,2.1,757,0,6.4,0.5,,
State,9/28/2021,,,,,,78644,240,332.7,23.6,,,,,,4273,24,28.9,2,757,0,4.7,0.3,,
State,9/29/2021,,,,,,78874,230,324.6,23.1,,,,,,4310,37,28.3,2,770,14,8.1,0.6,,
State,9/30/2021,,,,,,79206,332,306.6,21.8,,,,,,4310,0,22.9,1.6,782,12,7.9,0.6,,
State,10/1/2021,,,,,,79572,366,301.1,21.4,,,,,,4333,23,22.9,1.6,789,7,5.4,0.4,,
State,10/2/2021,,,,,,79851,279,285.1,20.3,,,,,,4352,19,23.1,1.6,801,12,6.4,0.5,,
State,10/3/2021,,,,,,80128,277,271.9,19.3,,,,,,4371,19,20.3,1.4,808,7,6.1,0.4,,
State,10/4/2021,,,,,,80323,195,259.1,18.4,,,,,,4382,11,18.6,1.3,811,3,6.6,0.5,,
State,10/5/2021,,,,,,80414,91,239.3,17,,,,,,4394,12,19.3,1.4,811,0,6.4,0.5,,
State,10/6/2021,,,,,,80582,168,228.6,16.2,,,,,,4422,28,21.4,1.5,818,7,8.4,0.6,,
State,10/7/2021,,,,,,80886,304,222.3,15.8,,,,,,4444,22,18.7,1.3,826,8,9,0.6,,
State,10/8/2021,,,,,,81087,201,199.1,14.2,,,,,,4477,33,16.7,1.2,833,7,6.9,0.5,,
State,10/9/2021,,,,,,81283,196,191.6,13.6,,,,,,4487,10,17.4,1.2,837,4,5.7,0.4,,
State,10/10/2021,,,,,,81501,218,177.1,12.6,,,,,,4498,11,17.4,1.2,841,4,5.9,0.4,,
State,10/11/2021,,,,,,81614,113,167.7,11.9,,,,,,4510,12,19.6,1.4,845,4,5.1,0.4,,
State,10/12/2021,,,,,,81663,49,163.1,11.6,,,,,,4518,8,17.7,1.2,845,0,4.1,0.3,,
State,10/13/2021,,,,,,81790,127,154.7,11,,,,,,4536,18,19.1,1.3,851,6,5.1,0.4,,
State,10/14/2021,,,,,,81954,164,136.3,9.7,,,,,,4552,16,18.9,1.3,857,6,5.7,0.4,,
State,10/15/2021,,,,,,82110,156,129.9,9.2,,,,,,4569,17,16.1,1.1,862,5,4.6,0.3,,
State,10/16/2021,,,,,,82250,140,125.4,8.9,,,,,,4575,6,14,1,866,4,4.1,0.3,,
State,10/17/2021,,,,,,82394,144,116.6,8.3,,,,,,4587,12,12.4,0.9,872,6,4.3,0.3,,
State,10/18/2021,,,,,,82511,117,115,8.2,,,,,,4592,5,12.4,0.9,876,4,4.1,0.3,,
State,10/19/2021,,,,,,82591,80,116.9,8.3,,,,,,4595,3,11.4,0.8,876,0,3.6,0.3,,
State,10/20/2021,,,,,,82730,139,118.7,8.4,,,,,,4610,15,13.1,0.9,876,0,3.9,0.3,,
State,10/21/2021,,,,,,82886,156,117.4,8.3,,,,,,4619,9,11.9,0.8,880,4,5,0.4,,
State,10/22/2021,,,,,,83020,134,114.7,8.2,,,,,,4629,10,9.9,0.7,883,3,4,0.3,,
State,10/23/2021,,,,,,83188,168,127,9,,,,,,4642,13,10.1,0.7,885,2,3,0.2,,
State,10/24/2021,,,,,,83351,163,124.9,8.9,,,,,,4648,6,8,0.6,888,3,3,0.2,,
State,10/25/2021,,,,,,83448,97,120.9,8.6,,,,,,4657,9,9,0.6,888,0,2.4,0.2,,
State,10/26/2021,,,,,,83522,74,120.9,8.6,,,,,,4664,7,8.9,0.6,888,0,1.9,0.1,,
State,10/27/2021,,,,,,83706,184,124.6,8.9,,,,,,4682,18,10.6,0.7,889,1,1.9,0.1,,
State,10/28/2021,,,,,,83832,126,121.3,8.6,,,,,,4696,14,10.9,0.8,891,2,2,0.1,,
State,10/29/2021,,,,,,83987,155,122.9,8.7,,,,,,4710,14,9.7,0.7,896,5,2.4,0.2,,
State,10/30/2021,,,,,,84143,156,119.6,8.5,,,,,,4735,25,12.6,0.9,906,10,2.7,0.2,,
State,10/31/2021,,,,,,84295,152,118.7,8.4,,,,,,4741,6,10.4,0.7,916,10,2.6,0.2,,
State,11/1/2021,,,,,,84364,69,115,8.2,,,,,,4751,10,11.1,0.8,916,0,1.6,0.1,,
State,11/2/2021,,,,,,84402,38,112.4,8,,,,,,4756,5,13.1,0.9,916,0,2.6,0.2,,
State,11/3/2021,,,,,,84578,176,108,7.7,,,,,,4766,10,13.4,0.9,919,3,4.4,0.3,,
State,11/4/2021,,,,,,84690,112,103.3,7.3,,,,,,4779,13,14.3,1,932,13,5.9,0.4,,
State,11/5/2021,,,,,,84814,124,98.3,7,,,,,,4788,9,11.9,0.8,944,12,5.6,0.4,,
State,11/6/2021,,,,,,84911,97,95.9,6.8,,,,,,4809,21,13,0.9,950,6,4.9,0.3,,
State,11/7/2021,,,,,,85045,134,95.6,6.8,,,,,,4825,16,12.1,0.9,962,12,6.9,0.5,,
State,11/8/2021,,,,,,85139,94,98.6,7,,,,,,4832,7,8.6,0.6,962,0,5.4,0.4,,
State,11/9/2021,,,,,,85218,79,103.9,7.4,,,,,,4833,1,9.9,0.7,962,0,4.9,0.3,,
State,11/10/2021,,,,,,85360,142,98.7,7,,,,,,4848,15,12.7,0.9,968,6,7.4,0.5,,
State,11/11/2021,,,,,,85490,130,100.7,7.2,,,,,,4866,18,13.4,0.9,971,3,7,0.5,,
State,11/12/2021,,,,,,85628,138,100.9,7.2,,,,,,4881,15,11.7,0.8,976,5,6.9,0.5,,
State,11/13/2021,,,,,,85709,81,102.4,7.3,,,,,,4885,4,10.4,0.7,976,0,5.1,0.4,,
State,11/14/2021,,,,,,85790,81,93.9,6.7,,,,,,4900,15,13.3,0.9,977,1,4,0.3,,
State,11/15/2021,,,,,,85885,95,91.4,6.5,,,,,,4901,1,10.4,0.7,977,0,3.7,0.3,,
State,11/16/2021,,,,,,85948,63,87.7,6.2,,,,,,4916,15,10.7,0.8,977,0,2,0.1,,
State,11/17/2021,,,,,,86090,142,88,6.3,,,,,,4918,2,10,0.7,985,8,3.3,0.2,,
State,11/18/2021,,,,,,86316,226,97.3,6.9,,,,,,4934,16,12,0.8,992,7,3.1,0.2,,
State,11/19/2021,,,,,,86522,206,108.7,7.7,,,,,,4953,19,12.4,0.9,998,6,2.1,0.2,,
State,11/20/2021,,,,,,86740,218,119,8.5,,,,,,4960,7,8.4,0.6,1002,4,2.6,0.2,,
State,11/21/2021,,,,,,86847,107,116.9,8.3,,,,,,4981,21,10.6,0.7,1002,0,2.3,0.2,,
State,11/22/2021,,,,,,86939,92,113.1,8,,,,,,4982,1,9.9,0.7,1002,0,3.1,0.2,,
State,11/23/2021,,,,,,86991,52,112.1,8,,,,,,4979,-3,8.1,0.6,1002,0,3.6,0.3,,
State,11/24/2021,,,,,,87106,115,108,7.7,,,,,,4993,14,13.4,0.9,1008,6,4.4,0.3,,
State,11/25/2021,,,,,,87183,77,100.9,7.2,,,,,,5006,13,11.3,0.8,1014,6,4.4,0.3,,
State,11/26/2021,,,,,,87210,27,82.3,5.8,,,,,,5015,9,10,0.7,1015,1,2.6,0.2,,
State,11/27/2021,,,,,,87345,135,84.1,6,,,,,,5018,3,8.9,0.6,1015,0,2.3,0.2,,
State,11/28/2021,,,,,,87514,169,84.9,6,,,,,,5030,12,9.3,0.7,1018,3,2.7,0.2,,
State,11/29/2021,,,,,,87585,71,82,5.8,,,,,,5028,-2,7.6,0.5,1018,0,1.9,0.1,,
State,11/30/2021,,,,,,87664,79,84.6,6,,,,,,5029,1,5.4,0.4,1018,0,1.9,0.1,,
State,12/1/2021,,,,,,87772,108,78.3,5.6,,,,,,5040,11,8.4,0.6,1026,8,3.4,0.2,,
State,12/2/2021,,,,,,87898,126,83.1,5.9,,,,,,5045,5,7.7,0.5,1027,1,2.4,0.2,,
State,12/3/2021,,,,,,88023,125,93.9,6.7,,,,,,5055,10,6.6,0.5,1028,1,1.6,0.1,,
State,12/4/2021,,,,,,88147,124,90.7,6.4,,,,,,5063,8,6,0.4,1032,4,2.3,0.2,,
State,12/5/2021,,,,,,88295,148,90.4,6.4,,,,,,5076,13,6.1,0.4,1033,1,1.9,0.1,,
State,12/6/2021,,,,,,88385,90,92.9,6.6,,,,,,5083,7,6.3,0.4,1033,0,1.9,0.1,,
State,12/7/2021,,,,,,88440,55,90.1,6.4,,,,,,5087,4,5.3,0.4,1033,0,2,0.1,,
State,12/8/2021,,,,,,88512,72,88.1,6.3,,,,,,5086,-1,6.7,0.5,1039,6,3,0.2,,
State,12/9/2021,,,,,,88655,143,91.6,6.5,,,,,,5100,14,9.7,0.7,1040,1,2.3,0.2,,
State,12/10/2021,,,,,,88825,170,98.4,7,,,,,,5102,2,7,0.5,1045,5,1.7,0.1,,
State,12/11/2021,,,,,,89014,189,111,7.9,,,,,,5112,10,7.3,0.5,1053,8,2.9,0.2,,
State,12/12/2021,,,,,,89229,215,124.1,8.8,,,,,,5120,8,7.6,0.5,1058,5,2.4,0.2,,
State,12/13/2021,,,,,,89379,150,129,9.2,,,,,,5126,6,6.4,0.5,1058,0,1.9,0.1,,
State,12/14/2021,,,,,,89593,214,152.4,10.8,,,,,,5127,1,5.3,0.4,1058,0,2.9,0.2,,
State,12/15/2021,,,,,,89875,282,179.7,12.8,,,,,,5138,11,6.9,0.5,1063,5,4.3,0.3,,
State,12/16/2021,,,,,,90270,395,209.7,14.9,,,,,,5146,8,6.7,0.5,1065,2,3.9,0.3,,
State,12/17/2021,,,,,,91067,797,296.6,21.1,,,,,,5152,6,6.7,0.5,1067,2,3,0.2,,X
